City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Kitangari,TZ,-10.65,39.33,66.06,96,49,2.89,scattered clouds
83,Batagay,RU,67.63,134.63,-9.13,88,95,4.63,overcast clouds
84,Albany,US,42.6,-73.97,41.0,78,76,10.67,broken clouds
85,Columbia,US,34.0,-81.03,62.6,63,1,6.93,clear sky
86,Upernavik,GL,72.79,-56.15,16.57,92,99,4.0,overcast clouds
87,Beitbridge,ZW,-22.22,30.0,66.27,81,97,17.05,overcast clouds
88,Knysna,ZA,-34.04,23.05,55.4,100,0,2.24,clear sky
89,Longyearbyen,SJ,78.22,15.64,35.6,69,0,26.4,clear sky
90,Nadrag,RO,45.65,22.18,42.8,100,90,6.93,mist
91,Santa Cruz,BO,-17.8,-63.17,73.4,53,20,5.82,few clouds
92,Majene,ID,-3.54,118.97,86.27,63,100,7.56,overcast clouds
93,Adeje,ES,28.12,-16.73,73.4,40,0,21.92,clear sky
94,Kavieng,PG,-2.57,150.8,86.25,64,9,1.54,clear sky
95,Castro,BR,-24.79,-50.01,50.34,92,41,10.29,scattered clouds
96,Oga,IT,46.46,10.35,48.2,54,75,1.12,broken clouds
97,Tambun,ID,-6.26,107.07,91.0,83,75,12.75,broken clouds
98,Saskylakh,RU,71.92,114.08,-7.29,89,93,10.51,overcast clouds
99,Provideniya,RU,64.38,-173.3,26.6,63,0,6.71,clear sky
100,Yarim,YE,14.3,44.38,44.53,51,0,6.89,clear sky
101,Batsfjord,NO,70.63,29.72,42.4,80,100,30.4,overcast clouds
102,Voyvozh,RU,62.89,54.96,23.88,97,61,6.04,broken clouds
103,Barra Patuca,HN,15.8,-84.28,80.26,88,100,10.76,moderate rain
104,Joue-Les-Tours,FR,47.35,0.67,62.6,88,90,13.87,overcast clouds
105,Ishigaki,JP,24.34,124.16,82.4,61,75,17.22,broken clouds
106,Krasnyy Kommunar,RU,51.96,55.37,32.0,85,0,8.95,clear sky
107,Huarmey,PE,-10.07,-78.15,61.11,86,42,6.42,scattered clouds
108,Altamont,US,42.21,-121.74,57.0,45,1,3.36,clear sky
109,Bahia Blanca,AR,-38.72,-62.27,64.54,47,0,11.92,clear sky
110,Olafsvik,IS,64.89,-23.71,35.67,92,97,15.3,heavy intensity rain
111,Dunmore East,IE,52.15,-6.99,46.99,92,93,4.0,overcast clouds
112,Alto Longa,BR,-5.25,-42.21,80.4,70,46,8.57,scattered clouds
113,Nioki,CD,-2.72,17.68,71.31,98,100,3.67,light rain
114,Katsuura,JP,35.13,140.3,71.6,93,75,14.99,light rain
115,Rio Cuarto,AR,-33.13,-64.35,63.0,54,49,5.99,scattered clouds
116,Mataura,NZ,-46.19,168.86,57.99,57,53,10.0,broken clouds
117,Ironton,US,38.54,-82.68,41.0,60,90,14.99,overcast clouds
118,Kapoeta,SS,4.77,33.59,77.67,58,98,10.74,overcast clouds
119,Gat,IL,31.61,34.76,69.01,83,100,2.53,overcast clouds
120,Bartlesville,US,36.75,-95.98,35.6,80,1,1.43,clear sky
121,Bambous Virieux,MU,-20.34,57.76,69.01,93,40,4.7,scattered clouds
122,Koidu,SL,8.42,-10.83,71.11,94,11,0.87,light rain
123,North Bend,US,43.41,-124.22,53.01,87,1,3.27,clear sky
124,Sergach,RU,55.53,45.47,36.82,90,100,8.63,overcast clouds
125,Saldanha,ZA,-33.01,17.94,62.6,67,0,6.93,clear sky
126,Victoria,HK,22.29,114.16,80.01,60,100,10.45,overcast clouds
127,Caboolture,AU,-27.08,152.95,82.0,57,25,3.0,scattered clouds
128,Granger,US,41.75,-86.13,37.4,51,75,12.75,broken clouds
129,Puerto Ayora,EC,-0.74,-90.35,69.01,91,100,4.0,overcast clouds
130,Ratnagiri,IN,16.98,73.3,80.13,66,5,3.96,clear sky
131,Ancud,CL,-41.87,-73.82,50.0,87,6,2.24,clear sky
132,Bani Walid,LY,31.76,13.99,57.31,81,0,0.96,clear sky
133,Seoul,KR,37.57,126.98,57.2,28,1,5.82,clear sky
134,Lincoln,US,40.8,-96.67,37.0,50,1,6.98,clear sky
135,Brae,GB,60.4,-1.35,50.0,81,90,34.45,overcast clouds
136,Kodiak,US,57.79,-152.41,30.2,42,90,21.92,light snow
137,Severo-Kurilsk,RU,50.68,156.12,43.79,75,14,12.55,few clouds
138,Santiago,CL,-33.46,-70.65,64.0,67,0,9.17,clear sky
139,Guozhen,CN,34.37,107.36,61.52,28,15,2.01,few clouds
140,Buraydah,SA,26.33,43.98,60.8,48,0,3.36,clear sky
141,Constitucion,CL,-35.33,-72.42,51.49,90,30,5.79,scattered clouds
142,Peterhead,GB,57.51,-1.8,46.4,75,65,10.29,broken clouds
143,Labuhan,ID,-6.88,112.21,85.32,66,100,6.58,overcast clouds
144,Nurota,UZ,40.56,65.69,37.4,40,17,9.17,few clouds
145,Necochea,AR,-38.55,-58.74,55.0,75,8,7.0,clear sky
146,Khatanga,RU,71.97,102.5,6.57,95,100,6.73,overcast clouds
147,Tasiilaq,GL,65.61,-37.64,24.8,73,0,4.7,clear sky
148,Ponta Do Sol,PT,32.67,-17.1,68.0,82,40,5.82,scattered clouds
149,Kloulklubed,PW,7.04,134.26,86.0,74,75,8.05,broken clouds
150,Zhigansk,RU,66.77,123.37,2.75,92,100,22.01,overcast clouds
151,Razole,IN,16.48,81.83,85.01,63,0,1.92,clear sky
152,Touros,BR,-5.2,-35.46,80.6,78,75,11.41,broken clouds
153,Portland,US,45.52,-122.68,57.99,50,1,9.17,clear sky
154,Zeya,RU,53.75,127.27,19.94,86,100,8.93,overcast clouds
155,The Valley,AI,18.22,-63.06,82.99,78,75,12.75,broken clouds
156,Conde,BR,-7.26,-34.91,78.8,83,75,5.82,broken clouds
157,Altay,CN,47.87,88.12,37.42,62,80,1.92,broken clouds
158,Hirara,JP,24.8,125.28,80.6,65,75,14.99,broken clouds
159,Arraial Do Cabo,BR,-22.97,-42.03,68.43,71,4,16.91,clear sky
160,Botshabelo,ZA,-29.27,26.71,48.2,100,0,1.12,fog
161,Alekseyevsk,RU,57.84,108.35,17.92,85,3,6.44,clear sky
162,Carnarvon,AU,-24.87,113.63,73.4,49,40,16.11,scattered clouds
163,Haines Junction,CA,60.75,-137.51,8.6,78,100,1.12,overcast clouds
164,Rocha,UY,-34.48,-54.33,48.38,89,0,1.23,clear sky
165,Mahajanga,MG,-15.72,46.32,77.0,69,40,6.93,scattered clouds
166,Kiunga,PG,-6.12,141.29,86.47,68,99,2.57,overcast clouds
167,Erenhot,CN,43.65,111.98,27.43,68,0,14.81,clear sky
168,Calabozo,VE,8.92,-67.43,74.34,96,100,7.07,overcast clouds
169,Tiznit,MA,29.58,-9.5,66.99,29,0,3.6,clear sky
170,Bethel,US,41.37,-73.41,46.4,61,90,9.17,overcast clouds
171,Kibakwe,TZ,-6.72,36.37,63.1,92,41,4.25,scattered clouds
172,Santa Cruz De La Palma,ES,28.68,-17.76,71.6,37,0,8.05,clear sky
173,East London,ZA,-33.02,27.91,64.13,83,34,15.79,scattered clouds
174,Hermanus,ZA,-34.42,19.23,63.0,84,91,4.0,overcast clouds
175,Yulara,AU,-25.24,130.99,95.0,10,0,11.41,clear sky
176,Bam,IR,29.11,58.36,56.48,32,0,2.39,clear sky
177,Mahebourg,MU,-20.41,57.7,64.4,93,40,4.7,scattered clouds
178,Bathsheba,BB,13.22,-59.52,82.4,78,40,23.04,scattered clouds
179,Ola,RU,59.58,151.28,32.47,90,100,8.61,overcast clouds
180,Houma,US,29.6,-90.72,64.99,50,4,8.01,clear sky
181,Prince Rupert,CA,54.32,-130.32,51.8,66,90,27.51,light rain
182,Maxixe,MZ,-23.86,35.35,68.67,79,67,4.97,broken clouds
183,Lebu,CL,-37.62,-73.65,53.28,94,82,7.65,broken clouds
184,Kalmar,SE,56.66,16.36,54.0,100,100,17.22,overcast clouds
185,Port Blair,IN,11.67,92.75,83.3,71,19,5.32,few clouds
186,Lorengau,PG,-2.02,147.27,86.18,69,36,4.94,light rain
187,Nikolskoye,RU,59.7,30.79,35.6,100,90,6.71,overcast clouds
188,Cermik,TR,38.14,39.45,60.8,38,75,2.24,moderate rain
189,Navirai,BR,-23.07,-54.19,65.46,69,1,1.48,clear sky
190,Aksarka,RU,66.56,67.8,22.64,95,34,10.02,scattered clouds
191,Cockburn Town,TC,21.46,-71.14,81.79,77,98,17.65,overcast clouds
192,Cherskiy,RU,68.75,161.3,1.44,92,99,5.26,overcast clouds
193,Manoharpur,IN,27.3,75.95,62.6,45,0,4.59,haze
194,San Cristobal,VE,7.77,-72.22,66.85,91,97,1.79,light rain
195,Lagoa,PT,39.05,-27.98,61.84,70,44,17.34,scattered clouds
196,Haverfordwest,GB,51.8,-4.97,63.0,100,100,38.03,overcast clouds
197,Nanakuli,US,21.39,-158.15,82.4,65,40,9.17,scattered clouds
198,Hit,IQ,33.64,42.83,68.63,25,90,10.16,overcast clouds
199,Key Largo,US,25.09,-80.45,82.0,1,0,1.01,clear sky
200,Tutoia,BR,-2.76,-42.27,80.65,81,43,10.94,scattered clouds
201,Ritchie,ZA,-29.04,24.6,51.8,93,0,1.12,clear sky
202,Thompson,CA,55.74,-97.86,21.2,92,75,5.88,broken clouds
203,Pasni,PK,25.26,63.47,74.53,26,0,10.65,clear sky
204,Kaeo,NZ,-35.1,173.78,73.99,71,100,10.0,overcast clouds
205,Alpena,US,45.06,-83.43,32.0,93,90,11.41,overcast clouds
206,Broome,US,42.25,-75.83,36.0,74,75,20.8,broken clouds
207,Nantucket,US,41.28,-70.1,57.99,88,1,11.41,clear sky
208,Okhotsk,RU,59.38,143.3,23.25,87,100,19.64,overcast clouds
209,Eyl,SO,7.98,49.82,77.79,64,0,10.94,clear sky
210,Faya,SA,18.39,42.45,55.4,34,0,3.33,clear sky
211,Hammond,US,41.58,-87.5,35.6,50,1,4.7,clear sky
212,Fort Smith,US,35.39,-94.4,50.0,46,1,2.68,clear sky
213,Kungsbacka,SE,57.49,12.08,55.0,93,90,23.04,moderate rain
214,Avarua,CK,-21.21,-159.78,78.8,83,93,13.87,light rain
215,Culaman,PH,5.96,125.66,84.2,70,20,3.36,few clouds
216,Kharp,RU,66.8,65.81,22.84,94,70,8.68,broken clouds
217,Baykit,RU,61.67,96.37,27.99,96,100,6.58,light snow
218,Muzhi,RU,65.37,64.67,23.13,93,95,12.12,overcast clouds
219,Butaritari,KI,3.07,172.79,82.24,78,62,10.49,light rain
220,Salalah,OM,17.02,54.09,71.6,46,0,3.36,clear sky
221,Esperance,AU,-33.87,121.9,80.6,65,75,16.11,broken clouds
222,Lata,PT,40.16,-8.33,64.99,93,89,1.21,overcast clouds
223,Alexandria,EG,31.22,29.96,71.6,60,40,9.17,scattered clouds
224,Belaya Gora,RU,68.53,146.42,-2.04,89,99,9.1,overcast clouds
225,Lulea,SE,65.58,22.15,44.6,93,100,24.16,moderate rain
226,Bairiki,KI,1.33,172.98,86.0,70,75,12.75,broken clouds
227,Barra Da Estiva,BR,-13.63,-41.33,66.65,91,87,3.83,overcast clouds
228,Sri Aman,MY,1.24,111.46,84.2,79,40,2.24,scattered clouds
229,Pauini,BR,-7.71,-66.98,73.63,93,21,1.39,light rain
230,Accrington,GB,53.75,-2.36,57.99,98,100,5.01,overcast clouds
231,Sambava,MG,-14.27,50.17,68.72,74,3,8.7,clear sky
232,Loa Janan,ID,-0.58,117.09,77.02,92,100,3.04,heavy intensity rain
233,Vao,NC,-22.67,167.48,74.62,82,100,15.68,overcast clouds
234,Santa Rosalia,MX,27.32,-112.28,73.67,46,0,3.87,clear sky
235,Marsh Harbour,BS,26.54,-77.06,79.93,82,0,7.31,clear sky
236,Kilindoni,TZ,-7.91,39.67,77.83,79,1,9.24,light rain
237,Albanel,CA,48.88,-72.45,35.6,93,100,5.82,light rain
238,Sarny,UA,51.34,26.6,37.74,95,0,1.77,clear sky
239,Avera,US,33.19,-82.53,57.99,87,1,8.05,clear sky
240,Vestmannaeyjar,IS,63.44,-20.27,37.94,74,34,15.93,scattered clouds
